local,preco,metragem,quartos,garagens,banheiros,bairro
"Rua Hildebrando Dulcio, Bacacheri",1200000.0,161.0,3.0,2.0,4.0,9
"Rua Carmelina Cavassin, Abranches",2299850.0,400.0,3.0,4.0,4.0,0
"Rua Alferes Ângelo Sampaio, Batel",4567151.0,257.0,3.0,4.0,5.0,13
"Rua Inocêncio Milani, São Braz",890000.0,148.0,3.0,2.0,3.0,64
"Tatuquara, Curitiba",280000.0,69.0,2.0,2.0,1.0,73
"Rua Casemiro Augusto Rodacki, Cidade Industrial",272900.0,37.0,1.0,1.0,1.0,33
"Rua São Pio X, Ahú",1450000.0,111.0,3.0,2.0,4.0,2
"Rua Carolina Castelli, Novo Mundo",235000.0,38.0,2.0,1.0,1.0,51
"Rua Ângelo Zeni, Bom Retiro",886845.0,157.0,3.0,1.0,4.0,16
"Rua Hermínia Zanetti, Xaxim",689900.0,139.0,3.0,3.0,3.0,79
"Cidade Industrial, Curitiba",670000.0,390.0,5.0,4.0,3.0,33
"Santa Cândida, Curitiba",203001.0,38.0,2.0,1.0,1.0,60
"Juvevê, Curitiba",2169227.0,136.0,3.0,3.0,1.0,46
"Rua Coronel Joaquim Ignácio Taborda Ribas, Bigorrilho",724000.0,109.0,3.0,2.0,2.0,14
"Rua Coronel Joaquim Ignácio Taborda Ribas, Bigorrilho",703081.0,85.0,3.0,2.0,2.0,14
"Rua Theodoro Makiolka, Santa Cândida",2800000.0,612.0,3.0,2.0,5.0,60
"Rua Alberto Kosop, Pinheirinho",365000.0,52.0,2.0,2.0,2.0,55
"Rua Simão Bolivar, Hugo Lange",756690.0,88.0,3.0,2.0,2.0,42
"Rua Conde dos Arcos, Lindóia",549720.0,141.0,3.0,2.0,3.0,48
"Rua Francisco Zuneda Ferreira da Costa, Bairro Alto",1298000.0,190.0,3.0,2.0,4.0,10
"Rua Adolpho Bertoldi, Campo de Santana",230000.0,62.0,2.0,1.0,1.0,24
"Rua Doutor Goulin, Juvevê",723996.0,86.0,3.0,1.0,2.0,46
"Rua Paulo Martins, Mercês",880000.0,85.0,2.0,2.0,2.0,49
"Rua Mariano Torres, Centro",766000.0,106.0,3.0,1.0,2.0,28
"Rua Antônio Freitas Barbosa, Capão Raso",369900.0,45.0,2.0,1.0,1.0,26
"Bigorrilho, Curitiba",1908000.0,160.0,3.0,3.0,4.0,14
"Rua Elbe Pospissil, Juvevê",2169226.0,135.0,3.0,3.0,4.0,46
"Cidade Industrial, Curitiba",690000.0,68.0,2.0,2.0,2.0,33
